Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),train time (cpu seconds),predict time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,Classes,CM[0][0],CM[0][1],CM[1][0],CM[1][1],model training instances,model serialized size (bytes)
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,500.0,0.065537281,0.024680964000000014,0.011295270000000013,1.2776942448069654E-10,500.0,0.735136,0.40350421922421226,0.69,0.3799999999999999,0.0,1.0,0.6846196024070593,0.604,0.05487804878048752,2.0,194.0,99.0,56.0,151.0,500.0,7536.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,1000.0,0.122729466,0.029975377999999994,0.01405791900000004,2.3926951192319397E-10,1000.0,0.8181570905134482,0.3861478270542846,0.75,0.5005434087712569,0.735136,1.0080321285140563,0.7379381497411592,0.6135458167330677,0.28366762177650423,2.0,221.0,97.0,28.0,154.0,1000.0,7536.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,1500.0,0.159883481,0.04959616699999999,0.01730898600000009,3.118576008660926E-10,1500.0,0.7054432870925935,0.271576270058441,0.674,0.3487918690871901,0.8181570905134482,0.9920318725099602,0.6571019011740389,0.8273092369477911,0.077358490566038,2.0,131.0,43.0,120.0,206.0,1500.0,7552.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,2000.0,0.187300686,0.06439058199999999,0.019801576000000067,3.6542280815541745E-10,2000.0,0.7340597449559193,0.4123200300843619,0.73,0.4597406755242516,0.7054432870925935,1.0080321285140563,0.727368177081896,0.7888446215139442,0.2531120331950208,2.0,167.0,53.0,82.0,198.0,2000.0,7552.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,2500.0,0.199788962,0.06714043699999996,0.021074300000000077,3.898212503972981E-10,2500.0,0.7576121217939487,0.4594231928074962,0.768,0.5362448627124878,0.7340597449559193,0.9920318725099602,0.7653348102614624,0.8353413654618473,0.366120218579235,2.0,176.0,41.0,75.0,208.0,2500.0,7552.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,3000.0,0.211059647,0.06919722199999988,0.022219754000000137,4.1184087560408645E-10,3000.0,0.7470119521912351,0.4469682332862268,0.752,0.5038015206082433,0.7576121217939487,1.0080321285140563,0.750205975012249,0.8007968127490039,0.333930170098478,2.0,175.0,50.0,74.0,201.0,3000.0,7552.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,3500.0,0.221413507,0.0708012889999996,0.02338440800000016,4.320692926562495E-10,3500.0,0.747728,0.4632447888776513,0.764,0.528,0.7470119521912351,1.0,0.7593681584053943,0.848,0.36898395721925137,2.0,170.0,38.0,80.0,212.0,3500.0,7552.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,4000.0,0.231489482,0.0724874199999998,0.02446815100000018,4.517548036161397E-10,4000.0,0.7607801724827598,0.4785168711263309,0.772,0.544255217078436,0.747728,0.9920318725099602,0.76900550187329,0.8433734939759037,0.39642620780939786,2.0,176.0,39.0,75.0,210.0,4000.0,7552.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,4500.0,0.242097095,0.07416664899999978,0.025501892000000203,4.724789798839225E-10,4500.0,0.7599001584025344,0.46706106646223444,0.762,0.5237256659836066,0.7607801724827598,1.0080321285140563,0.7584043794937141,0.8326693227091634,0.36776859504132237,2.0,172.0,42.0,77.0,209.0,4500.0,7552.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.AgrawalGenerator -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 2 -b) -d (ConceptDriftStream -s (generators.AgrawalGenerator -f 3 -b) -d (generators.AgrawalGenerator -f 4 -b) -p 250000 -w 12500 -r 3) -p 25000 -w 125000 -r 2) -p 25000 -w 125000,1,5000.0,0.252213966,0.07596172499999995,0.026570457000000196,4.922443896780411E-10,5000.0,0.755936,0.46440222992846236,0.764,0.528,0.7599001584025344,1.0,0.758915015004974,0.852,0.36763129689174706,2.0,169.0,37.0,81.0,213.0,5000.0,7552.0
