Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),train time (cpu seconds),predict time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,Classes,CM[0][0],CM[0][1],CM[1][0],CM[1][1],model training instances,model serialized size (bytes)
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,500.0,0.055093725,0.023905898999999987,0.008396198999999998,1.0695290658622982E-10,500.0,0.7024518276678829,0.2723556705414806,0.666,0.33306709265175727,0.0,0.968503937007874,0.6647594510141954,0.7195121951219512,0.2577777777777778,2.0,156.0,69.0,98.0,177.0,500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,1000.0,0.099319201,0.027869871999999924,0.010590128999999976,1.9280738826013274E-10,1000.0,0.7779271493502337,0.2812668831827416,0.72,0.43964137047710533,0.7024518276678829,1.032520325203252,0.7195474575225519,0.7362204724409449,0.40677966101694907,2.0,173.0,67.0,73.0,187.0,1000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,1500.0,0.11625139,0.030773367999999916,0.012413447999999933,2.2567768026557233E-10,1500.0,0.7468699402042354,0.27379350274390946,0.692,0.38258735987940395,0.7779271493502337,1.0920502092050208,0.6910024673019673,0.7088122605363985,0.3502109704641349,2.0,161.0,76.0,78.0,185.0,1500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,2000.0,0.132829153,0.03412544099999988,0.01440265299999991,2.5785992856240934E-10,2000.0,0.787547018807523,0.2979092474709299,0.71,0.42018554062699937,0.7468699402042354,0.9607843137254902,0.710139225143658,0.7224489795918367,0.3926701570680628,2.0,178.0,68.0,77.0,177.0,2000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,2500.0,0.145192998,0.03643782999999985,0.016123281999999923,2.818617392828067E-10,2500.0,0.7705453149001537,0.2755176939714145,0.7,0.3998847778773524,0.787547018807523,0.9841269841269841,0.6998395141903034,0.6895161290322581,0.3775933609958505,2.0,179.0,77.0,73.0,171.0,2500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,3000.0,0.156717168,0.038472041999999866,0.01766035999999999,3.0423349718252814E-10,3000.0,0.775857654889913,0.28483932857790106,0.702,0.40420971817920076,0.7705453149001537,1.0161290322580645,0.7017916505183909,0.6785714285714286,0.38259668508287287,2.0,180.0,81.0,68.0,171.0,3000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,3500.0,0.16681169,0.040035421999999876,0.018990788000000074,3.2382989347808885E-10,3500.0,0.7826246979565057,0.284243255667571,0.704,0.4079715826359664,0.775857654889913,0.9762845849802372,0.7040052341888136,0.7044534412955465,0.38333333333333325,2.0,178.0,73.0,75.0,174.0,3500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,4000.0,0.176786046,0.04190287099999989,0.02024605100000015,3.4319301269948475E-10,4000.0,0.7899395925711715,0.2923953680075785,0.722,0.44414229957130974,0.7826246979565057,1.1367521367521367,0.7228583950998734,0.706766917293233,0.4208333333333333,2.0,173.0,78.0,61.0,188.0,4000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,4500.0,0.187111735,0.043641947999999826,0.021605695000000175,3.632381712189978E-10,4500.0,0.7685266961059816,0.2930816062474335,0.698,0.3942554557124518,0.7899395925711715,1.127659574468085,0.6971640666651262,0.7094339622641509,0.3693735498839907,2.0,161.0,77.0,74.0,188.0,4500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,5000.0,0.198069494,0.04528871499999987,0.022923039000000246,3.845103610141409E-10,5000.0,0.8092997198879551,0.3254667699663587,0.754,0.5088643986583613,0.7685266961059816,0.9607843137254902,0.7533837234861963,0.8040816326530612,0.48856548856548854,2.0,180.0,48.0,75.0,197.0,5000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,5500.0,0.209115886,0.04739374499999983,0.024254667000000334,4.0595461318062406E-10,5500.0,0.7749594904622098,0.29209542240231545,0.726,0.44994057752224326,0.8092997198879551,1.109704641350211,0.7243277264968712,0.7490494296577946,0.43239171374764596,2.0,166.0,66.0,71.0,197.0,5500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (generators.RandomRBFGenerator -r 3 -i 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,6000.0,0.219833598,0.04904675499999979,0.025560186000000373,4.26760802095135E-10,6000.0,0.816352,0.32113999180790886,0.748,0.496,0.7749594904622098,1.0,0.7476148741163461,0.724,0.47915949018256976,2.0,193.0,69.0,57.0,181.0,6000.0,7504.0
