Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),train time (cpu seconds),predict time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,Classes,CM[0][0],CM[0][1],CM[1][0],CM[1][1],model training instances,model serialized size (bytes)
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,500.0,0.046610218,0.016516343000000006,0.008574656999999998,8.614304304536846E-11,500.0,0.9444317364878112,0.6316146983444578,0.886,0.7683981276817059,0.0,1.3364485981308412,0.8862314497931363,0.8846153846153846,0.7336448598130841,2.0,190.0,33.0,24.0,253.0,500.0,7144.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,1000.0,0.097857535,0.027562775,0.011096631000000003,1.810683007641799E-10,1000.0,0.9315795574986752,0.6080252585897035,0.88,0.7515898251192369,0.9444317364878112,1.4509803921568627,0.8754966793838128,0.8986486486486487,0.7129186602870814,2.0,174.0,30.0,30.0,266.0,1000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,1500.0,0.111788665,0.029425690999999997,0.013013911999999996,2.0687289275022016E-10,1500.0,0.9882752187339167,0.8002997018739028,0.936,0.8708093792390673,0.9315795574986752,1.1551724137931034,0.9330644341583822,0.9664179104477612,0.8523076923076924,2.0,209.0,9.0,23.0,259.0,1500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,2000.0,0.128574391,0.037027739999999955,0.01452900800000002,2.379650446876056E-10,2000.0,0.9456440864389234,0.8173152623147297,0.94,0.8782783692547389,0.9882752187339167,1.2321428571428572,0.9373921608094437,0.9601449275362319,0.8627002288329518,2.0,205.0,11.0,19.0,265.0,2000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,2500.0,0.139049735,0.03891026600000002,0.015928602000000017,2.573684942163527E-10,2500.0,0.9932236049779205,0.8242587327649691,0.95,0.8992260561109319,0.9456440864389234,1.127659574468085,0.9470442514111318,0.9849056603773585,0.8872858431018935,2.0,214.0,4.0,21.0,261.0,2500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,3000.0,0.149641006,0.04105335099999999,0.017264173999999993,2.769866749934024E-10,3000.0,0.9856157146516393,0.8276289733847416,0.958,0.9158788655664155,0.9932236049779205,1.0491803278688525,0.957354646973611,0.9765625,0.9065974796145292,2.0,229.0,6.0,15.0,250.0,3000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,3500.0,0.159045531,0.04242535299999995,0.01855064100000001,2.9440664957173994E-10,3500.0,0.9917600474518669,0.8297357119953996,0.956,0.9116110887906789,0.9856157146516393,1.0920502092050208,0.9542089690255049,0.9846743295019157,0.9025316455696202,2.0,221.0,4.0,18.0,257.0,3500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,4000.0,0.175428304,0.04931098799999997,0.020356717000000003,3.247524128274785E-10,4000.0,0.9703830226075186,0.8274908498349722,0.944,0.8868979334636699,0.9917600474518669,1.1834061135371179,0.9420177687256506,0.9630996309963099,0.8761746821448313,2.0,211.0,10.0,18.0,261.0,4000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,4500.0,0.195249648,0.05759101700000002,0.022318634000000014,3.6146743124557867E-10,4500.0,0.9531975619195047,0.8263826413661532,0.934,0.8664486677242854,0.9703830226075186,1.1929824561403508,0.9311121383815626,0.9595588235294118,0.8541973490427099,2.0,206.0,11.0,22.0,261.0,4500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,5000.0,0.205068029,0.05928205699999992,0.023685028000000028,3.7965399010106924E-10,5000.0,0.9815178571428571,0.8611800681942219,0.94,0.8787192755498058,0.9531975619195047,1.2727272727272727,0.9410290719662779,0.9321428571428572,0.8670801949490473,2.0,209.0,19.0,11.0,261.0,5000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,5500.0,0.214793846,0.060715163999999815,0.025009292999999988,3.976690929258863E-10,5500.0,0.9873835403726708,0.8707695463612721,0.958,0.9151172190784155,0.9815178571428571,1.2321428571428572,0.9577480434330279,0.9601449275362319,0.9068923821039903,2.0,214.0,11.0,10.0,265.0,5500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,6000.0,0.229991854,0.06699709699999983,0.02642905200000001,4.2582031938350866E-10,6000.0,0.9705775816649105,0.8792033523337618,0.958,0.9138581695271223,0.9873835403726708,1.4038461538461537,0.9585041691930084,0.9554794520547946,0.9062848642618073,2.0,200.0,13.0,8.0,279.0,6000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,6500.0,0.240131959,0.06841740399999975,0.027777183999999937,4.446028066778349E-10,6500.0,0.9926006441223832,0.8984688489196457,0.97,0.9393988364576599,0.9705775816649105,1.173913043478261,0.967723892962901,0.9925925925925926,0.9331963001027749,2.0,217.0,2.0,13.0,268.0,6500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,7000.0,0.248350229,0.06947650799999967,0.028823537999999982,4.5982548453534644E-10,7000.0,0.9949302295253,0.9034926599948742,0.97,0.938835426520959,0.9926006441223832,1.3148148148148149,0.9691377406513074,0.9753521126760564,0.9330143540669856,2.0,208.0,7.0,8.0,277.0,7000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,7500.0,0.256193163,0.07076606199999949,0.029767003000000024,4.743529286007915E-10,7500.0,0.9990878686530861,0.933098621409838,0.98,0.9599750244152351,0.9949302295253,1.0242914979757085,0.9795479416753862,1.0,0.9556737588652482,2.0,237.0,0.0,10.0,253.0,7500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,8000.0,0.263766061,0.07171095299999938,0.030726243000000097,4.883801857609716E-10,8000.0,0.9939560527880922,0.9226710689959654,0.974,0.9476869587612271,0.9990878686530861,1.145922746781116,0.9731242433248618,0.9850187265917603,0.9424460431654675,2.0,224.0,4.0,9.0,263.0,8000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,8500.0,0.271466139,0.07280101899999934,0.03170366400000019,5.026430180689528E-10,8500.0,0.9975190076030412,0.9303987813955499,0.986,0.9719910371318822,0.9939560527880922,1.0408163265306123,0.9860329124130415,0.984313725490196,0.9691629955947136,2.0,242.0,4.0,3.0,251.0,8500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,9000.0,0.279341308,0.07401012599999936,0.032645541000000174,5.172301709320811E-10,9000.0,0.9921948949960694,0.9316976493576261,0.972,0.9438012813307856,0.9975190076030412,1.109704641350211,0.9714606846240493,0.9809885931558935,0.9384615384615383,2.0,228.0,5.0,9.0,258.0,9000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,9500.0,0.29016997,0.07714456699999925,0.03382705400000008,5.372880703748929E-10,9500.0,0.9988049867579614,0.9301381046413566,0.984,0.9677523379554982,0.9921948949960694,1.2123893805309736,0.9846047014868654,0.9781021897810219,0.9648229576486924,2.0,224.0,6.0,2.0,268.0,9500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,10000.0,0.299879536,0.07946855399999915,0.03474835200000018,5.552730715192027E-10,10000.0,0.9802093397745572,0.9046115887058054,0.966,0.9315840309079201,0.9988049867579614,1.173913043478261,0.9659417571783868,0.9666666666666667,0.9252911448033398,2.0,222.0,9.0,8.0,261.0,10000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (ConceptDriftStream -s (generators.SineGenerator -i 3 -f 3) -d (generators.SineGenerator -i 4 -f 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,10500.0,0.30805742,0.0804488459999992,0.03562203700000024,5.704209425052008E-10,10500.0,0.9797333333333333,0.8970071314162038,0.966,0.9311740890688258,0.9802093397745572,1.2222222222222223,0.9645514999001328,0.9781818181818182,0.9252512562814069,2.0,214.0,6.0,11.0,269.0,10500.0,7160.0
