Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),train time (cpu seconds),predict time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,Classes,CM[0][0],CM[0][1],CM[1][0],CM[1][1],model training instances,model serialized size (bytes)
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,500.0,0.044864102,0.016905409999999992,0.007849369,8.291594494962031E-11,500.0,0.9444317364878112,0.6316146983444578,0.886,0.7683981276817059,0.0,1.3364485981308412,0.8862314497931363,0.8846153846153846,0.7336448598130841,2.0,190.0,33.0,24.0,253.0,500.0,7144.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,1000.0,0.098319313,0.028938104000000027,0.010626896000000004,1.8193087836727503E-10,1000.0,0.9315795574986752,0.6080252585897035,0.88,0.7515898251192369,0.9444317364878112,1.4509803921568627,0.8754966793838128,0.8986486486486487,0.7129186602870814,2.0,174.0,30.0,30.0,266.0,1000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,1500.0,0.115088276,0.03150920500000006,0.013262612000000042,2.129919802480274E-10,1500.0,0.9882752187339167,0.8002997018739028,0.936,0.8708093792390673,0.9315795574986752,1.1551724137931034,0.9330644341583822,0.9664179104477612,0.8523076923076924,2.0,209.0,9.0,23.0,259.0,1500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,2000.0,0.135158797,0.039656994000000084,0.014860461,2.501685485057533E-10,2000.0,0.9456440864389234,0.8173152623147297,0.94,0.8782783692547389,0.9882752187339167,1.2321428571428572,0.9373921608094437,0.9601449275362319,0.8627002288329518,2.0,205.0,11.0,19.0,265.0,2000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,2500.0,0.146764813,0.04164837400000001,0.016281699000000004,2.7166633852447076E-10,2500.0,0.9932236049779205,0.8242587327649691,0.95,0.8992260561109319,0.9456440864389234,1.127659574468085,0.9470442514111318,0.9849056603773585,0.8872858431018935,2.0,214.0,4.0,21.0,261.0,2500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,3000.0,0.15717253,0.04375154700000004,0.01753983800000004,2.9094452275584145E-10,3000.0,0.9856157146516393,0.8276289733847416,0.958,0.9158788655664155,0.9932236049779205,1.0491803278688525,0.957354646973611,0.9765625,0.9065974796145292,2.0,229.0,6.0,15.0,250.0,3000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,3500.0,0.16620662,0.044908839000000124,0.018632467000000097,3.076783416503006E-10,3500.0,0.9917600474518669,0.8297357119953996,0.956,0.9116110887906789,0.9856157146516393,1.0920502092050208,0.9542089690255049,0.9846743295019157,0.9025316455696202,2.0,221.0,4.0,18.0,257.0,3500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,4000.0,0.184051006,0.053354005000000176,0.020648892000000085,3.4073144645740595E-10,4000.0,0.9703830226075186,0.8274908498349722,0.944,0.8868979334636699,0.9917600474518669,1.1834061135371179,0.9420177687256506,0.9630996309963099,0.8761746821448313,2.0,211.0,10.0,18.0,261.0,4000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,4500.0,0.206016654,0.06395669200000012,0.023756261000000098,3.814183530004489E-10,4500.0,0.9579238676154975,0.8324983641351531,0.94,0.878524805234771,0.9703830226075186,1.2026431718061674,0.9372788019049417,0.9633699633699634,0.8673870333988211,2.0,207.0,10.0,20.0,263.0,4500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (ConceptDriftStream -s (generators.SineGenerator -i 2 -f 2) -d (generators.SineGenerator -i 3 -f 3) -p 30000 -w 15000 -r 2) -p 30000 -w 15000,1,5000.0,0.21590693,0.06516989900000017,0.025104421000000113,3.997380827574267E-10,5000.0,0.9847564935064935,0.8704284450007792,0.95,0.8987854251012145,0.9579238676154975,1.2727272727272727,0.9504783484693857,0.9464285714285714,0.8891843971631205,2.0,210.0,15.0,10.0,265.0,5000.0,7160.0
