Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),train time (cpu seconds),predict time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,Classes,CM[0][0],CM[0][1],CM[1][0],CM[1][1],model training instances,model serialized size (bytes)
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,500.0,0.047782288,0.017127147,0.008684675999999994,8.830921348598268E-11,500.0,0.9444317364878112,0.6316146983444578,0.886,0.7683981276817059,0.0,1.3364485981308412,0.8862314497931363,0.8846153846153846,0.7336448598130841,2.0,190.0,33.0,24.0,253.0,500.0,7144.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,1000.0,0.101853313,0.02882379,0.011349275999999998,1.8846481740267739E-10,1000.0,0.9315795574986752,0.6080252585897035,0.88,0.7515898251192369,0.9444317364878112,1.4509803921568627,0.8754966793838128,0.8986486486486487,0.7129186602870814,2.0,174.0,30.0,30.0,266.0,1000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,1500.0,0.118387699,0.03083877899999997,0.013544797000000029,2.1909141298176514E-10,1500.0,0.9882752187339167,0.8002997018739028,0.936,0.8708093792390673,0.9315795574986752,1.1551724137931034,0.9330644341583822,0.9664179104477612,0.8523076923076924,2.0,209.0,9.0,23.0,259.0,1500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,2000.0,0.13671569,0.03946801,0.015078341000000004,2.530402979378899E-10,2000.0,0.9456440864389234,0.8173152623147297,0.94,0.8782783692547389,0.9882752187339167,1.2321428571428572,0.9373921608094437,0.9601449275362319,0.8627002288329518,2.0,205.0,11.0,19.0,265.0,2000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,2500.0,0.147435304,0.04143103900000001,0.016484863000000034,2.7289620808429187E-10,2500.0,0.9932236049779205,0.8242587327649691,0.95,0.8992260561109319,0.9456440864389234,1.127659574468085,0.9470442514111318,0.9849056603773585,0.8872858431018935,2.0,214.0,4.0,21.0,261.0,2500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,3000.0,0.158160656,0.043559501,0.017853780999999975,2.92762746711572E-10,3000.0,0.9856157146516393,0.8276289733847416,0.958,0.9158788655664155,0.9932236049779205,1.0491803278688525,0.957354646973611,0.9765625,0.9065974796145292,2.0,229.0,6.0,15.0,250.0,3000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,3500.0,0.168182129,0.044865679000000054,0.019140990999999965,3.1132549229388435E-10,3500.0,0.9917600474518669,0.8297357119953996,0.956,0.9116110887906789,0.9856157146516393,1.0920502092050208,0.9542089690255049,0.9846743295019157,0.9025316455696202,2.0,221.0,4.0,18.0,257.0,3500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,4000.0,0.18580459,0.05225098800000004,0.021467928999999965,3.439675260624952E-10,4000.0,0.9742100259430542,0.8268302978503613,0.944,0.886974633878546,0.9917600474518669,1.1834061135371179,0.9424367606419769,0.959409594095941,0.8761746821448313,2.0,212.0,11.0,17.0,260.0,4000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,4500.0,0.205461892,0.06073351100000008,0.02368136199999998,3.803786899563339E-10,4500.0,0.9668472652218782,0.8398618302849608,0.94,0.8786329212246746,0.9742100259430542,1.1929824561403508,0.9374118465606456,0.9632352941176471,0.8674521354933725,2.0,208.0,10.0,20.0,262.0,4500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,5000.0,0.217235503,0.06303221000000005,0.02671857299999998,4.0218691571098236E-10,5000.0,0.9849918831168831,0.8643800176813038,0.948,0.8943776405589859,0.9668472652218782,1.2727272727272727,0.946696237572415,0.9571428571428572,0.8848028356225076,2.0,206.0,12.0,14.0,268.0,5000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,5500.0,0.228971291,0.065039003,0.02980540099999996,4.2392508203163743E-10,5500.0,0.9895111111111111,0.8843182077172654,0.966,0.931340872374798,0.9849918831168831,1.2222222222222223,0.9658575506154146,0.9672727272727273,0.9246575342465753,2.0,217.0,9.0,8.0,266.0,5500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,6000.0,0.243583864,0.07003510899999986,0.03096955599999997,4.509919089244472E-10,6000.0,0.9752518507526668,0.9017100015297878,0.968,0.9345131874068858,0.9895111111111111,1.4154589371980677,0.9704543620863972,0.9556313993174061,0.9285979918185199,2.0,204.0,13.0,3.0,280.0,6000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,6500.0,0.251396603,0.07120479399999959,0.03183413299999993,4.6546342287833495E-10,6500.0,0.9896469488712354,0.9020169607321057,0.966,0.9313541801266313,0.9752518507526668,1.1834061135371179,0.9644246422964095,0.981549815498155,0.9242631939684715,2.0,217.0,5.0,12.0,266.0,6500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,7000.0,0.259399833,0.07218762299999944,0.03275628199999998,4.802877827630275E-10,7000.0,0.9962995565988524,0.9194082903694059,0.976,0.9510411906782427,0.9896469488712354,1.3148148148148149,0.9749653900201223,0.9823943661971831,0.94639438417358,2.0,209.0,5.0,7.0,279.0,7000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,7500.0,0.267572067,0.07349680199999928,0.03360485300000002,4.95425188270294E-10,7500.0,0.9998239887352791,0.9416744926860255,0.982,0.9639896290131558,0.9962995565988524,1.0161290322580645,0.9817849508462336,0.996031746031746,0.9601063829787234,2.0,240.0,1.0,8.0,251.0,7500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,8000.0,0.275074632,0.07448108799999921,0.034490608000000034,5.093221678170893E-10,8000.0,0.9987125637683258,0.9372984335097507,0.976,0.9516027554164582,0.9998239887352791,1.1645021645021645,0.9744726119958205,0.9925650557620818,0.946843853820598,2.0,221.0,2.0,10.0,267.0,8000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,8500.0,0.283202951,0.0757656159999991,0.03539861200000008,5.243782296963036E-10,8500.0,0.9984476025862621,0.9361691837949181,0.978,0.9559802791650659,0.9987125637683258,1.032520325203252,0.9778777012839893,0.984251968503937,0.9515292897874545,2.0,239.0,4.0,7.0,250.0,8500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,9000.0,0.290823246,0.07686227999999896,0.03629769300000011,5.3849328018311E-10,9000.0,0.9990690806368773,0.943893669953781,0.978,0.955792045783365,0.9984476025862621,1.11864406779661,0.9770248488207188,0.9924242424242424,0.9516483516483516,2.0,227.0,2.0,9.0,262.0,9000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,9500.0,0.298983712,0.07802090099999888,0.0374093470000001,5.536088878578609E-10,9500.0,0.9991118144822686,0.9419378350317662,0.984,0.9677023448097668,0.9990690806368773,1.2123893805309736,0.9838499509840353,0.9854014598540146,0.9648229576486924,2.0,222.0,4.0,4.0,270.0,9500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,10000.0,0.309705987,0.08236301499999864,0.03840488400000011,5.734697269669009E-10,10000.0,0.9913118258828825,0.924548977391574,0.98,0.9597922061212345,0.9991118144822686,1.145922746781116,0.9796190267113929,0.9850187265917603,0.956082564778217,2.0,227.0,4.0,6.0,263.0,10000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,10500.0,0.317197148,0.08347440599999854,0.03928957700000002,5.873455829173325E-10,10500.0,0.9881012125431028,0.9110588302100622,0.97,0.9390521388636067,0.9913118258828825,1.242152466367713,0.9674403411324227,0.9891696750902527,0.9340590328658153,2.0,211.0,3.0,12.0,274.0,10500.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,11000.0,0.325104093,0.08467001699999846,0.040305425000000034,6.019915943737658E-10,11000.0,0.9940002242906807,0.919403658552632,0.976,0.9519792550381765,0.9881012125431028,0.9305019305019305,0.9763377453880485,0.9875518672199171,0.947410358565737,2.0,250.0,3.0,9.0,238.0,11000.0,7160.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.SineGenerator -d (generators.SineGenerator -i 2 -f 2) -p 50000 -w 25000,1,11500.0,0.333672852,0.08577242799999832,0.04128458300000005,6.178634819967878E-10,11500.0,0.9906427924430642,0.9226983037309182,0.978,0.9553498944633869,0.9940002242906807,1.2321428571428572,0.9756514254249554,0.9963768115942029,0.9518278750952018,2.0,214.0,1.0,10.0,275.0,11500.0,7160.0
