Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),train time (cpu seconds),predict time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,Classes,CM[0][0],CM[0][1],CM[1][0],CM[1][1],model training instances,model serialized size (bytes)
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,500.0,0.052206466,0.022599932000000017,0.008310798999999999,1.013478990809785E-10,500.0,0.7878853460299139,0.3733672672808351,0.712,0.42186320641089453,0.0,1.0920502092050208,0.7098051860239386,0.7432950191570882,0.39240506329113917,2.0,162.0,67.0,77.0,194.0,500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,1000.0,0.095690657,0.02659662300000004,0.010553963999999996,1.8576333147370153E-10,1000.0,0.8437681159420289,0.33272395845060665,0.756,0.5129351644841903,0.7878853460299139,0.8518518518518519,0.757910510142763,0.7913043478260869,0.4830508474576271,2.0,196.0,48.0,74.0,182.0,1000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,1500.0,0.112500301,0.029536920999999997,0.012445817999999997,2.1839572807566987E-10,1500.0,0.8837622431342423,0.3565836280017707,0.814,0.6282617037605525,0.8437681159420289,0.968503937007874,0.813983794569746,0.8414634146341463,0.6114206128133703,2.0,200.0,39.0,54.0,207.0,1500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,2000.0,0.128844906,0.03309291899999995,0.01408297299999993,2.5012534903983274E-10,2000.0,0.8610697771164338,0.3533121597839778,0.784,0.5679239546160125,0.8837622431342423,0.9920318725099602,0.783638836095562,0.7630522088353414,0.5537190082644629,2.0,202.0,59.0,49.0,190.0,2000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,2500.0,0.142458058,0.03562783500000001,0.015629993999999908,2.765524271544483E-10,2500.0,0.8653258452135234,0.32870407221452275,0.792,0.5839933438935023,0.8610697771164338,0.9920318725099602,0.7919962349207085,0.7911646586345381,0.5644891122278058,2.0,199.0,52.0,52.0,197.0,2500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,3000.0,0.153795241,0.03752778599999993,0.017089178999999875,2.9856118902977967E-10,3000.0,0.884694335749567,0.3468866763872905,0.8,0.5992305226033986,0.8653258452135234,1.1008403361344539,0.7997108817485653,0.8053435114503816,0.5759717314487633,2.0,189.0,51.0,49.0,211.0,3000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,3500.0,0.164373394,0.03922599999999993,0.01858601599999994,3.190964534299241E-10,3500.0,0.9071658615136876,0.36142504047833174,0.82,0.638612271121105,0.884694335749567,1.173913043478261,0.820127243573931,0.8185185185185185,0.6170212765957446,2.0,189.0,49.0,41.0,221.0,3500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,4000.0,0.174438909,0.041030826999999985,0.019928908999999988,3.38636538721621E-10,4000.0,0.8910493975710321,0.3558024636485634,0.816,0.631616881556819,0.9071658615136876,0.9011406844106464,0.816309893620008,0.8227848101265823,0.6122233930453108,2.0,213.0,42.0,50.0,195.0,4000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,4500.0,0.184671486,0.042662194999999944,0.021198599000000054,3.585009398311376E-10,4500.0,0.8825590885087452,0.35890724977829025,0.806,0.6120744816995137,0.8910493975710321,0.9762845849802372,0.8060555566961307,0.8178137651821862,0.592246613731901,2.0,201.0,45.0,52.0,202.0,4500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s (generators.HyperplaneGenerator -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 2 -k 10 -t 0.1) -d (ConceptDriftStream -s (generators.HyperplaneGenerator -i 3 -k 10 -t 0.1) -d (generators.HyperplaneGenerator -i 4 -k 10 -t 0.1) -p 25000 -w 12500 -r 4) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,5000.0,0.196109996,0.044516139999999954,0.022607716000000118,3.807064068151844E-10,5000.0,0.9094249021092831,0.3893886675534739,0.848,0.6956932588048752,0.8825590885087452,0.8450184501845018,0.8496432673886813,0.8733624454148472,0.6793248945147679,2.0,224.0,29.0,47.0,200.0,5000.0,7504.0
