Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),train time (cpu seconds),predict time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,Classes,CM[0][0],CM[0][1],CM[1][0],CM[1][1],model training instances,model serialized size (bytes)
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,500.0,0.055393879,0.022797619,0.008972008000000005,1.0753559259490835E-10,500.0,0.7024518276678829,0.2723556705414806,0.666,0.33306709265175727,0.0,0.968503937007874,0.6647594510141954,0.7195121951219512,0.2577777777777778,2.0,156.0,69.0,98.0,177.0,500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,1000.0,0.100258906,0.026849158000000047,0.011435301999999998,1.9463162833617795E-10,1000.0,0.7779271493502337,0.2812668831827416,0.72,0.43964137047710533,0.7024518276678829,1.032520325203252,0.7195474575225519,0.7362204724409449,0.40677966101694907,2.0,173.0,67.0,73.0,187.0,1000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,1500.0,0.116763362,0.030288423000000043,0.013326744000000055,2.2667156647476889E-10,1500.0,0.7468699402042354,0.27379350274390946,0.692,0.38258735987940395,0.7779271493502337,1.0920502092050208,0.6910024673019673,0.7088122605363985,0.3502109704641349,2.0,161.0,76.0,78.0,185.0,1500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,2000.0,0.130035213,0.03337316299999998,0.014902011999999966,2.5243608031421905E-10,2000.0,0.787547018807523,0.2979092474709299,0.71,0.42018554062699937,0.7468699402042354,0.9607843137254902,0.710139225143658,0.7224489795918367,0.3926701570680628,2.0,178.0,68.0,77.0,177.0,2000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,2500.0,0.142184402,0.03565320000000003,0.01643561899999996,2.760211814526055E-10,2500.0,0.7705453149001537,0.2755176939714145,0.7,0.3998847778773524,0.787547018807523,0.9841269841269841,0.6998395141903034,0.6895161290322581,0.3775933609958505,2.0,179.0,77.0,73.0,171.0,2500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,3000.0,0.153977337,0.03764568000000004,0.017936617000000044,2.9891469020396476E-10,3000.0,0.775857654889913,0.28483932857790106,0.702,0.40420971817920076,0.7705453149001537,1.0161290322580645,0.7017916505183909,0.6785714285714286,0.38259668508287287,2.0,180.0,81.0,68.0,171.0,3000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,3500.0,0.165044395,0.039484254999999975,0.01938993199999999,3.203990610730317E-10,3500.0,0.7826246979565057,0.284243255667571,0.704,0.4079715826359664,0.775857654889913,0.9762845849802372,0.7040052341888136,0.7044534412955465,0.38333333333333325,2.0,178.0,73.0,75.0,174.0,3500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,4000.0,0.176424025,0.0415873019999999,0.020851540999999946,3.424902248920666E-10,4000.0,0.7899395925711715,0.2923953680075785,0.722,0.44414229957130974,0.7826246979565057,1.1367521367521367,0.7228583950998734,0.706766917293233,0.4208333333333333,2.0,173.0,78.0,61.0,188.0,4000.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,4500.0,0.187033853,0.04336045299999998,0.022289607999999902,3.6308697965823945E-10,4500.0,0.7677398635086311,0.2919224586247021,0.696,0.3903906312665436,0.7899395925711715,1.127659574468085,0.6953074346959599,0.7056603773584905,0.3651972157772621,2.0,161.0,78.0,74.0,187.0,4500.0,7504.0
active.ALRandom -l trees.HoeffdingTree -b (FixedBM -b 0.5),ConceptDriftStream -s generators.RandomRBFGenerator -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 2 -i 2) -d (ConceptDriftStream -s (generators.RandomRBFGenerator -r 3 -i 3) -d (generators.RandomRBFGenerator -r 4 -i 4) -p 25000 -w 12500 -r 3) -p 25000 -w 12500 -r 2) -p 25000 -w 12500,1,5000.0,0.198396109,0.04530841000000003,0.023785432999999887,3.851444155019191E-10,5000.0,0.8104954868446322,0.32717533987805225,0.746,0.4926818356129362,0.7677398635086311,0.968503937007874,0.745320205391879,0.7926829268292683,0.47149396587598835,2.0,178.0,51.0,76.0,195.0,5000.0,7504.0
